Epoch: 52, Elapsed Time: 180.95489382743835 seconds, Train Loss: 0.564594535112381, Validation Loss: 0.7774523692770888
Epoch: 53, Elapsed Time: 180.5434331893921 seconds, Train Loss: 0.5584030041217803, Validation Loss: 0.775183125044972
Epoch: 54, Elapsed Time: 178.79537868499756 seconds, Train Loss: 0.5526878405094147, Validation Loss: 0.7718642308308293
Epoch: 55, Elapsed Time: 178.98291158676147 seconds, Train Loss: 0.5485337467193604, Validation Loss: 0.7723334660164465
Epoch: 56, Elapsed Time: 177.87610983848572 seconds, Train Loss: 0.5419067468643188, Validation Loss: 0.7697693566544749
Epoch: 57, Elapsed Time: 178.41012454032898 seconds, Train Loss: 0.5342571841716767, Validation Loss: 0.7620163529444808
Epoch: 58, Elapsed Time: 179.1684730052948 seconds, Train Loss: 0.5312136540412903, Validation Loss: 0.7641546358696569
Epoch: 59, Elapsed Time: 177.65707778930664 seconds, Train Loss: 0.5250758631706238, Validation Loss: 0.7628673263632071
Epoch: 60, Elapsed Time: 177.78229069709778 seconds, Train Loss: 0.5180746464252471, Validation Loss: 0.7588191672255056
Epoch: 61, Elapsed Time: 179.98831725120544 seconds, Train Loss: 0.5131572835445404, Validation Loss: 0.7580167216995654
Epoch: 62, Elapsed Time: 180.55781507492065 seconds, Train Loss: 0.5061454511165618, Validation Loss: 0.756414403168919
Epoch: 63, Elapsed Time: 181.2341649532318 seconds, Train Loss: 0.4990909775257111, Validation Loss: 0.7553812737662953
Epoch: 64, Elapsed Time: 182.1672167778015 seconds, Train Loss: 0.49476711325645445, Validation Loss: 0.7547064810134352
Epoch: 65, Elapsed Time: 182.62988924980164 seconds, Train Loss: 0.48883647756576537, Validation Loss: 0.752869021206999
Epoch: 66, Elapsed Time: 182.09130144119263 seconds, Train Loss: 0.4847933676242828, Validation Loss: 0.7515183312062639
Epoch: 67, Elapsed Time: 180.49627542495728 seconds, Train Loss: 0.4803300916671753, Validation Loss: 0.7458550255900374
Epoch: 68, Elapsed Time: 181.74984455108643 seconds, Train Loss: 0.4774349326610565, Validation Loss: 0.7482818414608892
Epoch: 69, Elapsed Time: 180.2567377090454 seconds, Train Loss: 0.4701948515415192, Validation Loss: 0.7467218926920297
Epoch: 70, Elapsed Time: 179.0692799091339 seconds, Train Loss: 0.46444973893165586, Validation Loss: 0.7448513915363592
Epoch: 71, Elapsed Time: 180.3687617778778 seconds, Train Loss: 0.46222474007606507, Validation Loss: 0.7436120651019648
Epoch: 72, Elapsed Time: 180.14665150642395 seconds, Train Loss: 0.4598032332897186, Validation Loss: 0.7439016911168449
