Epoch: 1, Elapsed Time: 390.42144322395325 seconds, Train Loss: 1.3026961544036866, Validation Loss: 1.308197286944039
Epoch: 2, Elapsed Time: 379.4053201675415 seconds, Train Loss: 1.2029212355613708, Validation Loss: 1.2096393176922784
Epoch: 3, Elapsed Time: 380.7968270778656 seconds, Train Loss: 1.1461570478439331, Validation Loss: 1.1532190455415379
Epoch: 4, Elapsed Time: 379.14996218681335 seconds, Train Loss: 1.0879341263771056, Validation Loss: 1.0974187969018856
Epoch: 5, Elapsed Time: 381.88188910484314 seconds, Train Loss: 1.0463230289459229, Validation Loss: 1.059419570258631
Epoch: 6, Elapsed Time: 379.4369339942932 seconds, Train Loss: 1.0131747354507445, Validation Loss: 1.0316268057107163
Epoch: 7, Elapsed Time: 377.0505311489105 seconds, Train Loss: 0.9732271055221557, Validation Loss: 0.9999355113925263
Epoch: 8, Elapsed Time: 378.96925616264343 seconds, Train Loss: 0.9525270115852356, Validation Loss: 0.9853387610219158
Epoch: 9, Elapsed Time: 377.37123227119446 seconds, Train Loss: 0.9368148154258727, Validation Loss: 0.9750649671965894
Epoch: 10, Elapsed Time: 378.1309027671814 seconds, Train Loss: 0.9099907670974732, Validation Loss: 0.9577806715767223
Epoch: 11, Elapsed Time: 377.10269594192505 seconds, Train Loss: 0.8954930037498474, Validation Loss: 0.9462494073203578
Epoch: 12, Elapsed Time: 377.3247911930084 seconds, Train Loss: 0.8820705121994018, Validation Loss: 0.9352878282626216
Epoch: 13, Elapsed Time: 377.8152930736542 seconds, Train Loss: 0.8592153079986572, Validation Loss: 0.9220494334690106
Epoch: 14, Elapsed Time: 378.20888090133667 seconds, Train Loss: 0.8563413980484009, Validation Loss: 0.9206877215601765
Epoch: 15, Elapsed Time: 378.198627948761 seconds, Train Loss: 0.8554959305763244, Validation Loss: 0.9199772206739115
Epoch: 16, Elapsed Time: 379.58109641075134 seconds, Train Loss: 0.8368965078353882, Validation Loss: 0.9074561584490938
Epoch: 17, Elapsed Time: 378.29141306877136 seconds, Train Loss: 0.8113705421447754, Validation Loss: 0.8977725930488147
Epoch: 18, Elapsed Time: 378.7391891479492 seconds, Train Loss: 0.8189772253036499, Validation Loss: 0.8990738671808578
Epoch: 19, Elapsed Time: 376.9280388355255 seconds, Train Loss: 0.7993433067321777, Validation Loss: 0.8886126089400758
Epoch: 20, Elapsed Time: 378.8425042629242 seconds, Train Loss: 0.7828339277267456, Validation Loss: 0.8747842938374406
Epoch: 21, Elapsed Time: 379.7214686870575 seconds, Train Loss: 0.7831650983810425, Validation Loss: 0.8791298837707446
Epoch: 22, Elapsed Time: 377.0679214000702 seconds, Train Loss: 0.7788850598335266, Validation Loss: 0.8754231280412156
Epoch: 23, Elapsed Time: 379.2097842693329 seconds, Train Loss: 0.7587774541854858, Validation Loss: 0.8723924186663886
Epoch: 24, Elapsed Time: 378.28014969825745 seconds, Train Loss: 0.7497982398986817, Validation Loss: 0.8644120651312148
Epoch: 25, Elapsed Time: 379.0202054977417 seconds, Train Loss: 0.7321996885299683, Validation Loss: 0.8527645994299136
Epoch: 26, Elapsed Time: 378.65160298347473 seconds, Train Loss: 0.7267537140846252, Validation Loss: 0.8525761350656089
Epoch: 27, Elapsed Time: 378.843713760376 seconds, Train Loss: 0.7218844079971314, Validation Loss: 0.8500513659117702
Epoch: 28, Elapsed Time: 393.8935647010803 seconds, Train Loss: 0.7129920120239258, Validation Loss: 0.8508556818428893
Epoch: 29, Elapsed Time: 393.4479925632477 seconds, Train Loss: 0.7058243118286133, Validation Loss: 0.8453184613785424
Epoch: 30, Elapsed Time: 393.6806344985962 seconds, Train Loss: 0.6892213720321655, Validation Loss: 0.8395047979994704
Epoch: 31, Elapsed Time: 395.13854146003723 seconds, Train Loss: 0.6869095111846923, Validation Loss: 0.8350307006424609
Epoch: 32, Elapsed Time: 392.3881359100342 seconds, Train Loss: 0.6745771477699279, Validation Loss: 0.8401148892439212
Epoch: 33, Elapsed Time: 391.24778032302856 seconds, Train Loss: 0.6662952402114868, Validation Loss: 0.839677172727859
Epoch: 34, Elapsed Time: 389.493141412735 seconds, Train Loss: 0.6474619946479797, Validation Loss: 0.828662946201361
Epoch: 35, Elapsed Time: 390.3400864601135 seconds, Train Loss: 0.6450506360054016, Validation Loss: 0.830913241298054
Epoch: 36, Elapsed Time: 389.6878056526184 seconds, Train Loss: 0.6422518345832825, Validation Loss: 0.8379383934572482
Epoch: 37, Elapsed Time: 390.41906213760376 seconds, Train Loss: 0.6268180794715882, Validation Loss: 0.8222414323697075
Epoch: 38, Elapsed Time: 391.084157705307 seconds, Train Loss: 0.6172071412086487, Validation Loss: 0.8187998135249835
Epoch: 39, Elapsed Time: 392.5477418899536 seconds, Train Loss: 0.61117760887146, Validation Loss: 0.8207798954396964
Epoch: 40, Elapsed Time: 393.07624197006226 seconds, Train Loss: 0.607361410856247, Validation Loss: 0.8242268865100872
Epoch: 41, Elapsed Time: 392.29668378829956 seconds, Train Loss: 0.6024657853603363, Validation Loss: 0.8167162162427324
Epoch: 42, Elapsed Time: 392.1543695926666 seconds, Train Loss: 0.5990136863708496, Validation Loss: 0.8149437652990079
Epoch: 43, Elapsed Time: 392.39047622680664 seconds, Train Loss: 0.5866468354225158, Validation Loss: 0.8190198462611189
Epoch: 44, Elapsed Time: 391.15137481689453 seconds, Train Loss: 0.5818643331050872, Validation Loss: 0.8145810297122017
Epoch: 45, Elapsed Time: 395.8366632461548 seconds, Train Loss: 0.5727334366798401, Validation Loss: 0.8106566623757823
Epoch: 46, Elapsed Time: 390.2469005584717 seconds, Train Loss: 0.5613413054943085, Validation Loss: 0.8054024072500844
Epoch: 47, Elapsed Time: 392.2532937526703 seconds, Train Loss: 0.5623640531539917, Validation Loss: 0.8110298422959666
Epoch: 48, Elapsed Time: 390.2368903160095 seconds, Train Loss: 0.5564804848194123, Validation Loss: 0.806664688709064
Epoch: 49, Elapsed Time: 389.5268964767456 seconds, Train Loss: 0.5410548222064971, Validation Loss: 0.7998401774004245
Epoch: 50, Elapsed Time: 389.55746126174927 seconds, Train Loss: 0.5338477244853973, Validation Loss: 0.8019265043088042
Epoch: 51, Elapsed Time: 388.53027987480164 seconds, Train Loss: 0.5305572884082794, Validation Loss: 0.7980983101140958
Epoch: 52, Elapsed Time: 389.98515009880066 seconds, Train Loss: 0.5210188563346863, Validation Loss: 0.7976150613623305
Epoch: 53, Elapsed Time: 391.8171582221985 seconds, Train Loss: 0.5157226884841919, Validation Loss: 0.7922184886262059
